epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.904,1.50405,2.83194,1.23989,0.00444,0.80367,0.28273,0.17529,1.30199,3.53259,1.12165,0.000541044,0.000541044,0.000541044
2,372.698,1.42695,1.8732,1.17779,0.78225,0.33333,0.34782,0.19558,1.44979,3.46007,1.30932,0.001075,0.001075,0.001075
3,550.869,1.41312,1.73146,1.19103,0.71691,0.27918,0.41425,0.24042,1.4217,2.78841,1.26129,0.00158694,0.00158694,0.00158694
4,750.406,1.42842,1.6492,1.19644,0.60011,0.53182,0.57854,0.34563,1.38694,2.01611,1.27566,0.00156798,0.00156798,0.00156798
5,942.523,1.42236,1.52868,1.21583,0.59149,0.59002,0.59774,0.35806,1.32011,1.71713,1.22514,0.00153497,0.00153497,0.00153497
6,1133.91,1.38637,1.40375,1.20488,0.60136,0.58574,0.59202,0.33832,1.34165,1.70912,1.2012,0.00150197,0.00150197,0.00150197
7,1324.88,1.38549,1.29778,1.19356,0.52844,0.60828,0.49,0.28596,1.39864,1.93817,1.31733,0.00146896,0.00146896,0.00146896
8,1515.88,1.35632,1.25442,1.19775,0.61117,0.59351,0.58535,0.3505,1.32257,1.45186,1.20058,0.00143595,0.00143595,0.00143595
9,1695.04,1.35992,1.25531,1.18673,0.54366,0.68639,0.61724,0.37417,1.30167,1.57958,1.18896,0.00140295,0.00140295,0.00140295
10,1882.63,1.3109,1.13724,1.17197,0.63616,0.66878,0.62901,0.37527,1.31602,1.39965,1.21758,0.00136994,0.00136994,0.00136994
11,2073.55,1.33713,1.14481,1.17187,0.51307,0.65501,0.56197,0.33451,1.31653,1.37546,1.22279,0.00133693,0.00133693,0.00133693
12,2264.67,1.3703,1.11591,1.18063,0.664,0.6232,0.67357,0.37908,1.28279,1.35288,1.2065,0.00130393,0.00130393,0.00130393
13,2454.72,1.35899,1.08399,1.20319,0.69535,0.69877,0.68268,0.39908,1.30358,1.1937,1.22349,0.00127092,0.00127092,0.00127092
14,2641.53,1.3467,1.03228,1.18255,0.66865,0.62662,0.68626,0.40894,1.35895,1.26501,1.23615,0.00123791,0.00123791,0.00123791
15,2821.3,1.32885,0.99164,1.17057,0.71882,0.67594,0.72387,0.44083,1.31784,1.14715,1.18954,0.00120491,0.00120491,0.00120491
16,3011.95,1.28329,0.96028,1.15026,0.7158,0.69245,0.67247,0.41422,1.34168,1.15326,1.21977,0.0011719,0.0011719,0.0011719
17,3204.54,1.27266,0.94276,1.14833,0.66408,0.66956,0.66125,0.38414,1.35692,1.2702,1.21396,0.00113889,0.00113889,0.00113889
18,3382.61,1.27157,0.94732,1.13842,0.64219,0.70261,0.62688,0.36176,1.43559,1.2607,1.25644,0.00110589,0.00110589,0.00110589
19,3565.35,1.25782,0.93839,1.13741,0.72215,0.68608,0.68382,0.42158,1.26364,1.09444,1.1497,0.00107288,0.00107288,0.00107288
20,3756.51,1.25403,0.88676,1.1385,0.78185,0.72912,0.71635,0.42017,1.31112,1.06471,1.18802,0.00103987,0.00103987,0.00103987
21,3946.95,1.24244,0.86175,1.12686,0.77258,0.66853,0.71517,0.4469,1.24068,1.00169,1.18524,0.00100687,0.00100687,0.00100687
22,4137.89,1.24776,0.87995,1.11913,0.64231,0.73206,0.71502,0.4331,1.35071,1.05323,1.20484,0.000973861,0.000973861,0.000973861
23,4329.3,1.2526,0.86407,1.12717,0.75206,0.66238,0.7336,0.42952,1.34451,1.09323,1.20506,0.000940855,0.000940855,0.000940855
24,4520.65,1.23864,0.86084,1.12659,0.79051,0.65704,0.71462,0.40451,1.40031,1.17913,1.23274,0.000907848,0.000907848,0.000907848
25,4702.87,1.20533,0.82626,1.10741,0.69004,0.70039,0.7045,0.42318,1.3064,1.13717,1.2011,0.000874842,0.000874842,0.000874842
26,4884.62,1.23669,0.8172,1.12132,0.73596,0.72202,0.78136,0.46345,1.3062,1.02742,1.1881,0.000841835,0.000841835,0.000841835
27,5076.55,1.18325,0.7769,1.09562,0.74668,0.73005,0.7621,0.45351,1.3652,1.02437,1.23068,0.000808828,0.000808828,0.000808828
28,5269.44,1.19717,0.79479,1.08997,0.71574,0.69511,0.67953,0.40854,1.30765,1.1058,1.18722,0.000775822,0.000775822,0.000775822
29,5463.22,1.1929,0.78417,1.10652,0.6294,0.73338,0.67381,0.41183,1.34193,1.07533,1.23752,0.000742815,0.000742815,0.000742815
30,5657,1.20483,0.79848,1.10855,0.69893,0.72833,0.70645,0.40368,1.31277,1.03762,1.22181,0.000709809,0.000709809,0.000709809
31,5833.96,1.15592,0.74303,1.0839,0.77388,0.70518,0.75002,0.44758,1.33706,1.02687,1.21167,0.000676802,0.000676802,0.000676802
32,6012.01,1.14028,0.72256,1.07896,0.69225,0.71534,0.71016,0.43583,1.34366,1.01324,1.22915,0.000643795,0.000643795,0.000643795
33,6194.83,1.15575,0.7308,1.09238,0.77038,0.64749,0.72491,0.44391,1.25371,1.0092,1.18771,0.000610789,0.000610789,0.000610789
34,6392.03,1.14084,0.72157,1.07795,0.69916,0.71493,0.71303,0.43974,1.33947,1.05795,1.19435,0.000577782,0.000577782,0.000577782
35,6584.14,1.16535,0.74541,1.08289,0.72092,0.76546,0.74416,0.44389,1.35158,1.01649,1.19642,0.000544776,0.000544776,0.000544776
36,6773.1,1.13043,0.71257,1.06116,0.76617,0.70166,0.7612,0.46641,1.28076,1.02045,1.17227,0.000511769,0.000511769,0.000511769
37,7035.61,1.12099,0.68649,1.05618,0.76106,0.68257,0.74452,0.45123,1.28023,1.05765,1.1857,0.000478762,0.000478762,0.000478762
38,7314.93,1.12285,0.70328,1.0609,0.76448,0.69642,0.70555,0.43321,1.28512,1.02658,1.1951,0.000445756,0.000445756,0.000445756
39,7527.75,1.07082,0.6634,1.04296,0.75078,0.65937,0.69999,0.42612,1.29271,1.05077,1.20257,0.000412749,0.000412749,0.000412749
40,7707.12,1.09152,0.6619,1.03928,0.79212,0.65553,0.71441,0.42665,1.2891,1.00665,1.18544,0.000379743,0.000379743,0.000379743
41,7894.67,1.0688,0.635,1.05172,0.68633,0.74445,0.68528,0.42336,1.23903,1.01481,1.17768,0.000346736,0.000346736,0.000346736
42,8081.89,1.06252,0.6076,1.05247,0.71111,0.69683,0.71967,0.44528,1.27351,0.96582,1.18594,0.000313729,0.000313729,0.000313729
43,8258.81,1.03671,0.59668,1.04176,0.7661,0.7231,0.74203,0.46261,1.27388,0.97148,1.18471,0.000280723,0.000280723,0.000280723
44,8447.3,1.04115,0.59016,1.03762,0.75688,0.76887,0.75396,0.45433,1.30776,0.92406,1.19385,0.000247716,0.000247716,0.000247716
45,8637.01,1.03758,0.57487,1.03854,0.78681,0.75589,0.78264,0.47631,1.36398,0.93437,1.21588,0.00021471,0.00021471,0.00021471
46,8830.92,1.03125,0.57071,1.03911,0.75905,0.74162,0.76879,0.46693,1.32901,0.93026,1.20936,0.000181703,0.000181703,0.000181703
47,9011.94,0.99541,0.55273,1.02414,0.77912,0.73993,0.75987,0.46918,1.26153,0.93401,1.18065,0.000148696,0.000148696,0.000148696
48,9196.38,0.99932,0.54253,1.01577,0.76596,0.73272,0.75538,0.46689,1.27132,0.94906,1.18028,0.00011569,0.00011569,0.00011569
49,9386.93,0.9902,0.54142,1.01283,0.75375,0.73439,0.74587,0.46309,1.30193,0.97193,1.18949,8.26832e-05,8.26832e-05,8.26832e-05
50,9569.74,0.98212,0.53645,1.01276,0.80155,0.73439,0.75154,0.47034,1.27848,0.96451,1.17946,4.96766e-05,4.96766e-05,4.96766e-05
